id,split,label,label_name,text
2,validation,4,sci.space,"





Well, I thought it must have been a joke, but I don't get the 
joke in the name. Read it aloud? David MACaloon. David MacALLoon.
David macalOON. I don't geddit."
7,validation,4,sci.space,"

Kerry-- I'm guessing a little at this, because it's been a few years 
since I saw the info, but you will probably want to look at Air Defense 
Artillery as a specialty, or possibly Signals.  The kind of thing you're 
looking for is SDI-type assignments, but it'll be pretty prosaic stuff.
Things like hard-kill ATBM missiles, some of the COBRA rigs -- that kind 
of thing.  

Hope that gives you some ideas on where to look, though.
"
9,validation,1,misc.forsale,"************************************************************
*     For Sale - Jazz Compact Discs                        *
************************************************************

I have the following CDs for sale, they are all in mint condition
and are fairly hard to find.  They are all on the savoy label and
put out by Dennon (Dennon bought the rights to Savoy and released
these disks)

I would like to sell them all in one package deal but I will consider
individual orders.

These are the titles and artists:

Telefunken Blues		Milt Jackson, Kenny Clarke, Percy Heath
				Frank Morgan, Frank Wess, Walter Benton

Jazz Concert West Coast		The Bopland Boys

Opus De Jazz VOl-2		John Rae, Steve Kuhn, Bobby Jaspar, 
				Jake Hannah, John Neves

Patterns of Jazz		Cecil Payne, Kenny Dorham, Duke Jordan, 
				Tommy Potter, Art Taylor

Penthouse Serenade		Erroll Garner

Footloose			Paul Bley

The Imortal Lester Young 	Lester Young, Count Basie

Great Britain's			Marian McPartland, George Shearing

Howard McGhee and Milt Jackson  Self Titled

I Just Love Jazz Piano		Hampton Hawes, John Mehegan, Herbie Nichols, 
				Paul Smith

Art Pepper & Sonny Reid		Self Titled

Opus De Blues			Frank Wess, Thad Jones, Curtis Fuller
				Charlie Fowlkes, Hank Jones,
				Eddie Jones, Gus Johnson

Jazz is Busting out All Over	Too many names to list 

Opus in Swing			Frank Wess, Kenny Burrell
				Freddie Green, Eddie Jones, Kenny Clarke

Jackson's Ville			Milt Jackson, Lucky Thompson, Hank Jones
				Wendell Marshall, Kenny Clarke


I will take any reasonable offer on the package of the 15 discs
as well as offers on individual discs.

Please E-mail me with a response or call (807) 344-0010

Thanx

Derek

"
12,validation,3,sci.med,"
The FDA, I believe.  Rules say no blood or blood products donations
from anyone who has been in a malarial area for 3 years.  I was a platelet
donor until my Thailand trip and my blood bank was very disappointed
to find out they couldn't use me for 3 years.

Not necessarily.  The same rules may not apply to organ donation
as to blood donation.  In fact, I'm sure they don't.



-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."" "
22,validation,1,misc.forsale,"Mac Classic 2 4/40  for sale
       
       1 year old, excellent condition
       Includes dustcovers, freeware/shareware (including many fonts )
               
        $800.00 

	email or call 510/947-6987 (SF Bay Area)"
28,validation,2,rec.autos,"I just bought a 1962 T-BIRD and would like any info on a club
in and around the the B.C. coast.
                                 Eric Thomas

"
35,validation,1,misc.forsale,"16 bit MFM FD/HD controller 	- $25/b.o.

copy card w/ software and cable	- $30/b.o.
(can copy any protected software)

if interested, please reply to this account
"
36,validation,1,misc.forsale,"Hello folks, I've a super scope 6 for sale, it comes with a 
CRT and all boxes and instructions included $50 shipping included. 
I got that only a month back and used only twice."
37,validation,2,rec.autos,"



	I think the Manta is the European name for the ""GT.""  I'm pretty sure
that the only Kadett's sold here were/are the Pontiac LeMans.  I think the
GT is just an early '70s to mid '70s Manta.  "
43,validation,3,sci.med,"

No, there's no evidence that would convince any but the most credulous.

The ""evidence"" is identical to the sort of evidence that has been
used to justify all sorts of quack treatments for quack diseases
in the past.


I like the implication here.  It must not be that the quacks making
millions off such ""diseases"" are biased -- rather that those who
doubt their existence don't understand the real world.  It seems
easy to picture a 19th centure snake oil salesman saying the same
thing.

However, I have been in the trenches long enough to have seen multiple
quack diseases rise and fall in popularity.  ""Systemic yeast syndome""
seems to be making a resurgence (it had fallen off a few years ago).
There will be new such ""diseases"" I'm sure with best-selling books
and expensive therapies.


Well this, of course, is convincing.  I guess I'd better start diagnosing
any illnesses that people want so that I can keep my lips."
49,validation,0,comp.graphics,"I am looking for some information about 3D animation stations that
are currently on the market.  The price of the station can be from 5K-20K, 
but no more than $20,000.00.  Type of workstation doesnt matter (PC, MAC, 
SGI etc..) .  If you use or have bought/looked at one or can suggest your
dream machine, then please mail me your configurations.  I need the following.

	1. Type of station (PC, MAC etc.. )
	2. Expandibilty of the machine.
	3. Software that can run on it
	4. VTR Controller and/or VTR deck model/name.
	5. Vendors names and numbers.

Thanks in advance."
60,validation,0,comp.graphics,"Pascal Perret, in article <1993Apr21.125750.263@eicn.etna.ch>, wrote

Funny thing, the InterNet: I have no idea what xv221 might be - except that it
might be something to do with X-windows on PCs (? If you know, and have used
it, and think that it is good, email me. [ryanph@mrl.dsto.gov.au]).

DV/X is a common abbreviation for QuarterDeck corporation's Desqview/X
software.

I have not used DV/X yet, but reading the blurbs that Quarterdeck sent me, it
sounds pretty great:
	* allows multiple DOS machines - the way that OS/2 does, but without
requiring 10 MB of RAM to get OS/2 going
	* pre-emptive multi-tasking
	* network computing - a proper X-windows client/server application -
this means that DOS program can be used on other X-windows computers on your
network, and that X-windows programs can be used on your DV/X computer
	* although it is NOT a version of Unix, it effectively has many of
Unix's features, and mostly you will be able to compile unix-type programs
using the djgpp or gnu c compilers

They advertise regularly in all of the major computing and programming
magazines. They also have InterNet support online (support@qdeck.com).


Hope that this helps anyone wanting to know."
63,validation,1,misc.forsale,"I'm trying to set up a personal studio.

What I'm looking for are a cheap sampler(rack or with keyboard)

or a cheap sound card (AudioMedia I or II or something similar)."
75,validation,3,sci.med,"[reply to aldridge@netcom.com (Jacquelin Aldridge)]
 
 
The acquisition of scientific knowledge is completely scientific.  The
application of that knowledge in individual cases may be more art than
science.
 
 
Certainly we don't have all the answers.  The question is, what is the
most reliable means of acquiring further medical knowledge?  The
scientific method has proven itself to be reliable.  The *only* reason
alternative therapies are shunned by physicians is that their
practitioners refuse to submit their theories to rigorous scientific
scrutiny, insisting that ""tradition"" or anecdotal evidence are
sufficient.  These have been shown many times in the past to be very
unreliable ways of acquiring reliable knowledge.  Crook's ideas have
never been backed up by scientific evidence.  His unwillingness to do
good science makes the rest of us doubt the veracity of his contentions."
77,validation,4,sci.space,"Does anyone know how to size cold gas roll control thruster tanks
for sounding rockets?"
78,validation,1,misc.forsale,"The title says it all...If you have some cheap used 
GAMEBOY or TG-16 (2 Player or more) Games, Please
email me all offers..."
82,validation,3,sci.med,"A friend of mine is seeing an acupuncturist and
wants to know if there is any danger of getting
AIDS from the needles.

Thanks,"
84,validation,0,comp.graphics,"
See:
   Maureen Stone and Tony DeRose,
   ""A Geometric Characterization of Parametric Cubic Curves"",
   ACM TOG, vol 8, no 3, July 1989, pp. 147-163.
_______________________________________________________________________

...Ron Capelli                 IBM Corp.  Dept. C13,  MS. P230
   capelli@vnet.ibm.com        PO Box 950
   (914) 435-1673              Poughkeepsie, NY  12602
_______________________________________________________________________"
93,validation,2,rec.autos,"If your buying a compact pickup do yourself a favor and wait a few months
for the 1994 GMC sonoma.  Magazines are saying it is day and night over the
current truck.  It's georgeous, solid, and fast (200hp Vortec 4.3 V-6).
Should whip the Ranger in every area too (accept maybe payload).  And always
pick a GMC over a Chevy.  GMC's are always so much better looking.  Man, I 
miss the Comanche.

Marty and Matt Owings
'87 250 ninja type rider dudes

""It's a feeling that we all wanna know
and it's an obsession to some
to keep the world in you rearview mirror
while you try to run down the sun"""
95,validation,1,misc.forsale,"The headline says it all!!!!!!!!
"
99,validation,0,comp.graphics,"Sketch:  Rotate so cylinder axis is || Z axis.

Intersect X/Y projection of line with projected cylinder (similar to,
but easier than, sphere intersection).  Result: no intersection, one
intersection, or two intersections, parameterized along line by t0 and
t1.  Now look at Z, and compute intersections of line with top and
bottom planes of cylinder.  This gives t0' and t1'.  The interval of
intersection is then the bit of the line from [t0,t1] INTERSECT [t0',t1'].

Details left as an exercise for the reader.

=S"
106,validation,0,comp.graphics,"==============================
                              GASPRA ANIMATION
                                March 12, 1993
                       ==============================

     The Gaspra animation is now available at the Ames Space Archives in 
QuickTime format.  The animation was formed from 11 images taken by the 
Galileo spaecraft shortly before its closest approach to the asteroid in 
October 1991.  The animation is available using anonymous ftp to:"
115,validation,3,sci.med,"
In fairness, we should note that if you look up ""speculum"" in the
dictionary (which I did when this question first surfaced), the first
definition is ""a mirror or polished metal plate used as a reflector in
optical instruments.""

Which doesn't mean the name fits in this context, but it's not as far
off as you might think."
116,validation,0,comp.graphics,": Are there significant differences between V2.01 and V2.00 ?
: Thank you for helping


No.  As I recall, the only differences are in the 3ds.set parameters - some
of the defaults have changed slightly.  I'll look when I get home and let
you know, but there isn't enough to actually warrant upgrading."
118,validation,4,sci.space,"
I posted my public-domain MSDOS program ""sunlight.zip"" to ""sci.astro"" yesterday.
It easily locates the sun, moon, and planets, and can also be used to
locate other objects if you input their Right Ascesion and Declination.
Use ""uudecode"" to extract.


-- 
  
        Robert Sheaffer - Scepticus Maximus - sheaffer@netcom.com
  
 Past Chairman, The Bay Area Skeptics - for whom I speak only when authorized!

         ""Marxism and feminism are one and that one is Marxism"""
126,validation,2,rec.autos,"
-> I saw an interesting product in NY Auto Show, and would like to hear
-> your comments.
->
-> MILITECH(tm) is yet another oil additive. But the demonstration of
-> this product really impressive, if it didn't cheat.

  Well, I heard that Militech stuff works pretty good too.. One of my
friends who races in SCCA sanctioned events and all that stuff got the
Militech stuff early as a trial thing, and he put it in his CRX..  He
says it worked great, but I didn't ask him for any details.


-Erich
erich.lim@yob.sccsi.com
                                                                       "
