id,split,label,label_name,text
0,train,0,comp.graphics,"
My package is based on several articles about non-standard radiosity and
some unpublished methods.

The main articles are:

-  Cohen, Chen, Wallace, Greenberg : 
    A Progressive Refinement Approach to fast Radiosity Image Generation
     Computer Graphics (SIGGRAPH), V. 22(No. 4), pp 75-84, August 1988

-  Silion, Puech
    A General Two-Pass Method Integrating Specular and Diffuse Reflection
    Computer Graphics (SIGGRAPH), V23(No. 3), pp335-344, July 1989 


I do not use hemi-cubes. I have no special hardware (SUN SPARCstation).


Use anonymous as username and your e-mail address as password.



Stephan.


----------------------------------------------------------------------------

 Stephan Amann     SIG Computer Graphics, University of Berne, Switzerland
           amann@iam.unibe.ch
	   Tel +41 31 65 46 79	   Fax +41 31 65 39 65

 Projects: Radiosity, Raytracing, Computer Graphics
"
1,train,4,sci.space,"


Bill says ...


I presume the one you refer to is ""Space Sailing"" by Jerome L. Wright.  He 
worked on solar sails while at JPL and as CEO of General Astronautics.  I'll
furnish ordering info upon request.

The Friedman book is called ""Starsailing: Solar Sails and Interstellar Travel.""
It was available from the Planetary Society a few years ago, I don't know if
it still is."
3,train,2,rec.autos,"Hello Netters,

I would like to find out information about a device that is used on vans and
trucks. This device is a step that hooks onto the tire and folds up for
storage. I've seen this device on TNN's Shady Tree Mechanic. I would like to
know if it is a good product and I would also like the price and address
of where I can purchase this product.

Thanks,"
4,train,2,rec.autos,"
My wife rarely carries a purse, so all of her crap ends up in my pockets!

"
5,train,0,comp.graphics,"
A book that I can somewhat recommend is :
                     
                     Pratical Image Processing in C
                     by Craig A. Lindley
                     published by Wiley"
6,train,2,rec.autos,"I was wondering if anyone out in net-land have any opinions on MGs
in general.  I know they are not the most reliable cars around but
summer is approaching and they are convertibles `8^).  I'm interested
in a 75 MG but any opinions on MGs would be appreciated.  Thanks."
8,train,1,misc.forsale,"HiFonics ""Ceres"" 3-Band Parametric Equalizer

Specs:	3-Bands: 1. 40-640Hz; 2. 100Hz-3KHz; 3. 500Hz-16KHz
	Boost/Cut: +/-20db
	THD: Less than 0.02%
	Size(WxHxD): 190mmx53mmx120mm

This EQ has three variable bands as indicated above with
variable Q. It also has a subwoofer output with variable
cutoff frequency. I originally paid $129 for the unit and
used it for 3 months before selling the car. It is in
excellent condition with all the wiring and hardware intact 
and manual in original box. Asking price: $75"
10,train,3,sci.med,"



If these folks are who I think they are, Lyme-knowledgeable may
mean a physician to whom everything that walks in the door is
lyme disease, and you will be treated for lyme, whether or not
you have it.  Hope you have good insurance.



-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."" "
11,train,0,comp.graphics,"Hi! Everyone,

Because no one has touched the problem I posted last week, I guess
my question was not so clear. Now I'd like to describe it in detail:

The offset of an ellipse is the locus of the center of a circle which
rolls on the ellipse. In other words, the distance between the ellipse
and its offset is same everywhere.

This problem comes from the geometric measurement when a probe is used.
The tip of the probe is a ball and the computer just outputs the
positions of the ball's center. Is the offset of an ellipse still
an ellipse? The answer is no! Ironically, DMIS - an American Indutrial
Standard says it is ellipse. So almost all the software which was
implemented on the base of DMIS was wrong. The software was also sold
internationaly. Imagine, how many people have or will suffer from this bug!!!
How many qualified parts with ellipse were/will be discarded? And most
importantly, how many defective parts with ellipse are/will be used?

I was employed as a consultant by a company in Los Angeles last year
to specially solve this problem. I spent two months on analysis of this
problem and six months on programming. Now my solution (nonlinear)
is not ideal because I can only reconstruct an ellipse from its entire
or half offset. It is very difficult to find the original ellipse from
a quarter or a segment of its offset because the method I used is not
analytical. I am now wondering if I didn't touch the base and make things
complicated. Please give me a hint.

I know you may argue this is not a CG problem. You are right, it is not.
However, so many people involved in the problem ""sphere from 4 poits"".
Why not an ellipse? And why not its offset?

Please post here and let the others share our interests 
(I got several emails from our netters, they said they need the
summary of the answers)."
13,train,4,sci.space,"The SDIO has ""contracted"" with the NRL (Naval Research Laboratory) to fly the Clementine Mission.  BTW we call it DSPSE (Deep Space Project Science Experiment).

The NRL is building the spacecraft, designing the detailed mission and doing the
integration and operations (with help from, JPL & Goddard & prob. some folks I
have left out...don't be mad).

I am on the TAMP (Trajectory Analysis & Mission Planning) team and am responsable
for the IV&V of the traj that Goddard/CSC are designing.

As for why SDIO is doing it, some of the reasons are:

   1)  the safety constraints are too tight to try to run the LIDAR in LEO

   2)  in LEO we don't get any new radiation data on the sensors, we will get
       that data on our 9 passages through the Van Allen (sp?) Belts

   3)  since we are going out there...why not piggy-back some general science

   4)  the intercept problem is a lot easied over LONG distances and LONG times

I am sure there are some things I have forgotten, and some I haven't been told
but, those are the reasons we all talk about.

-- 
"
14,train,3,sci.med,"-*----
I agree with everything that Lee Lady wrote in her previous post in
this thread.  In case this puzzles people, I would like to expand
on two of her comments.


One of the most important (and difficult) aspects of reasoning
about empirical investigation lies in understanding the context,
scope, and importance of the various arguments and pieces of
evidence that are marshalled for a claim.  Some errors break the
back of a piece of research, some leave a hole that needs to be
filled in, and some are trivial in their importance.  It is a
grave mistake to confuse these.

Past snippets from this thread:



Back to Lee Lady:


These posters are making the mistake that I have previously
criticized of adhering to a methodological recipe.  A ""carefully
designed and controlled study"" is neither always possible nor
always important.  (On the other hand, if someone is proposing a
remedy that supposedly alleviates a chronic medical problem, we
have enough knowledge of the errors that have plagued *this* kind
of claim to ask for a ""carefully designed and controlled study""
to alleviate our skepticism.)

Rules such as ""support the hypothesis by a carefully designed and
controlled study"" are too narrow to apply to *all* investigation.
I think that the requirements for particular reasoning to be
convincing depends greatly on the kinds of mistakes that have
occurred in past reasoning about the same kinds of things.  (To
reuse the previous example, we know that conclusions from
uncontrolled observations of the treatment of chronic medical
problems are notoriously problematic.)  "
15,train,2,rec.autos,"

These arethe numbers I have been stating in the past 5-10 messages. It
really angers me that you insisted you were right, and that you had
no clue what your own car weighed. Why didn't you check when I first
told you that your figures were implausible?



I'd like to hear a better explanatin of how you come to that 
conclusion from the above data.

No, sorry your wrong again. *You* quoted the del Sol as doing 0-60 in
8.1 according to C+D. Interestingly, the Stealth ES, which is
*faster* than your RT does the samerun in 8.5 seconds according to
C+D. Kind of embarassing isn't it? Why didn't you check the figures

before posting? It only makes you look stupid when you are caught out
twice with *your own* figures.


You really should have checked.

      *2*
If you insist, I gave you every chance to retract, but:

  Dodge Stealth ES Auto does an 8.5/16.4 - Wonder why you couldn't find it?

Do you realize that a 9k Sentra (C+D) will run a 16.7, that a Sentra SE-R or Saturn
will run in the 15's? Don't you think it is kind of strange that your
222hp sports car is so easily beaten. 

A Mustang 5.0, which weights about the same (according to *your* numbers),
has less power and is much quicker? Care to explain. Don't be abusive,
just try and come up with a rational explanation of where those 222hp
went to, its a mystery to me.

"
16,train,1,misc.forsale,"Posting for a friend: please call Steve, 415 252-1618, if interested.

SEGA Genesis games for sale.

In original boxes with original manuals.

Approximately 1 month old.

-- John Madden Football '93, Electronic Arts, $40.00 obo

-- Ecco The Dolphin, SEGA,, $40.00 obo 

Again, I'm posting for a friend. If interested, call:"
17,train,0,comp.graphics,"RADIOSITY SOURCES WANTED !!!
============================

When I read the comp.graphics group, I never found something about 
radiosity. Is there anybody interested in out there? I would be glad 
to hear from somebody.
I am looking for source-code for the radiosity-method. I have already
read common literature, e. g.Foley ... . I think little examples could 
help me to understand how radiosity works. Common languages ( C, C++, 
Pascal) prefered.
I hope you will help me!"
18,train,1,misc.forsale,"Okay, okay, Norman himself isn't actually for sale.  BUT:

I have two Saturday Even Post's, both of which have Norman Rockwell
illustrations on the front cover.

October 29, 1960  --  with candidate Kennedy on campaign
   -- has, obviously, a Norman Rockwell of Kennedy on the cover

November 5, 1960  --  with candidate Nixon on campaign
   -- And here we have Nixon.  He's not a crook...

These are both in very good condition.
Let me know if you're interested, and to what tune.  ($$)
"
19,train,1,misc.forsale,"For Sale ...:
 
        Hewlett Packard DeskJet 500 inkjet printer.
 
        o Perfect condition both internally and externally
        o Comes with two FULL ink cartridges
        o Less than six months old
        o Comes with all original packaging, manuals, cables
          and software
 
        This is truly an excellent printer and is the low-cost
        alternative to a laser printer.  It prints with the
        quality of a laser printer, but for a fraction of both
        the inital cost and he long term cost (that is,
        replacement of ink cartridges as opposed to replacement
        of toner).  The printer prints at a maximum of 300*300
        (D)ots (P)er (I)nch (D.P.I.) on many different types
        and sizes of paper, including envelopes and
        transperencies.  Printer prints in both landscape and
        portrait modes.  Printer can accept up to two
        cartridges giving it things like more memory or
        additional fonts.  Printer works excellently with
        Windows and DOS and brings TrueType to its full
        potential.
 
        I originally purchased the printer for $375.00.  Make me
        an offer, but I would prefer to stay in the $300.00
        range.  I will pay the shipping to anywhere in the 
        continental U.S.A.
 
        If you are interested, please either leave me email or
        call Kirk Peterson at (303) 494-7951 anytime.
 
        Thanks!
 
"
20,train,1,misc.forsale,"someone gave me this brand new card.  I am thinking to sell it cuz
I don't need it.  but the problem is that i don't even know what this
is.
this was made by Forte Communications Co. it has 2 board combined
together (looks wierd  to me) and has 2 9 pin ports (one male and one
female), and also has a round port (like BNC, not sure).
this was made in 1986, and has a ""fortegraph emulator & diagnostic"" disk
with it.

has anyone here ever seen this or known what this is.

appreciate your help in advance."
21,train,3,sci.med,"Recurrent Volvulus
    -------------------
    
 This is regarding recurrent volvulus which our little boy
 has been suffering from ever since he was an infant. He had
 a surgery when he was one year old. Another surgery had
 to be performed one year after, when he was two years old.
 He turned three this February and he is still getting
 afflicted by this illness, like having to get hospitalised
 for vomitting and accompanying stomach pain.He managed
 not having a third surgery so far.
 
 *  	One thing me and my wife noticed is that his affliction
 	peaks around the time he was born, on nearabouts, like in
 	March every year.  Any significance to this?
 
 *	Why does this recur? Me and my family go through severe pain
 	when our little boy have to undergo surgery. Why does surgery
 	not rectify the situation? 
 
 *	Also, which hospital in US or Canada specialize in this malady?
 
 *	What will be a good book explaining this disease in detail?
 
 *	Will keeping a particular diet keep down the probability of 
 	recurrence?
 
 *	As time goes on, will the probability of recurrence go down
 	considering he is getting stronger and healthier and probably
 	less prone to attacks? Or is this assumption wrong?
 
 *	Any help throwing light on these queries will be highly appreciated.
 	Thanks very much!"
23,train,4,sci.space,"
Great speculation - I remember being proud on behalf of all the free
world (you think that way when you are seven years old) that we had
got there first. Now I'm almost sorry that it worked out that way.

I guess the soviets would have taken the victory seriously too, and
would almost certainly not have fallen victim to the complacency that
overtook the US program. Perhaps stretching to match US efforts would
have destabilized them sooner than it did in fact - and in the tradition
of Marvel Comics 'What If', this destabilization in the Brezhnev era might
have triggered the third world war. Hmm, maybe it was a giant leap after all.
"
24,train,4,sci.space," 
 
  Of course; sorry for the misunderstanding.  I was referring to the fact
that far more aeronautical development took place in the '30's.  For much
of the '20's, the super-abundance of Jennies and OX-5 engines held down the
industry.  By 1926, many of the obsolete WWI aircraft had been retired
and Whirlwind had their power/weight ratio and reliability up to the point
where long-distance flights became practical.  It's important to note that
the Atlantic was flown not once but THREE times in 1927:  Lindbergh,
Chamberlin and Levine, and Byrd's _America_.  ""When it's time to railroad,
you railroad.""


  Not off the top of my head; I'll have to dig out my reference books again.
However, I will say that the most common arrangement in Prince Henry the
Navigator's Portugal was for the prince to put up part of the money and
merchants to put up the rest.  They profits from the voyage would then be
shared.


  The problem is that the amount of prize money required to inspire a
Moon Base is much larger than any but a handful of individuals or corporations
can even consider putting up.  The Kremer Prizes (human powered aircraft),
Orteig's prize, Lord Northcliffe's prize for crossing the Atlantic (won in
1919 by Alcock and Brown) were MUCH smaller.  The technologies required were
within the reach of individual inventors, and the prize amounts were well
within the reach of a large number of wealthy individuals.  I think that only
a gov't could afford to set up a $1B+ prize for any purpose whatsoever.
  Note that Burt Rutan suggested that NASP could be built most cheaply by
taking out an ad in AvWeek stating that the first company to build a plane
that could take off and fly the profile would be handed $3B, no questions
asked.
"
25,train,4,sci.space,"Another fish to check out is Richard Rast -- he works
for Lockheed Missiles, but is on-site at NASA Johnson.

Nick Johnson at Kaman Sciences in Colo. Spgs and his
friend, Darren McKnight at Kaman in Alexandria, VA.

Good luck.

R. Landis"
26,train,0,comp.graphics,"I am scanning in a color image and it looks fine on the screen.  When I 
converted it into PCX,BMP,GIF files so as to get it into MS Windows the colors
got much lighter.  For example the yellows became white.  Any ideas?"
27,train,4,sci.space,"I thought that under emergency conditions,  the STS  can
put down at any good size Airport.  IF it could take a C-5 or a
747, then it can take an orbiter.   You just need a VOR/TAC

I don't know if they need ILS.

pat"
29,train,4,sci.space,"In the April edition of ""One Small Step for a Space Activist"",
Allen Sherzer & Tim Kyger write:
  ""Another problem is what are called 'wraps' (or sometimes
   the 'center tax'). When work for a large program like
   Freedom or Shuttle is performed at a NASA center, the
   center skims off a portion which goes into what amounts
   to a slush fund. This money is used to fund work the
   center manager wants to fund. This sum is estimated to
   be over a third of the funds allocated. Think about
   that: Of the $30 billion cost of Freedom, fully $10
   billion won't be spent on anything having anything
   to do with Space Stations! Now, maybe that $10 billion
   was wisely spent (and maybe it wasn't), but the work done
   with it should stand on its own merits, not distorting
   the cost of other projects. Congress has no idea of the
   existense of these wraps; Congress has never heard the
   term 'center tax'. They look at the Station they are
   getting and the price they are paying and note that
   it doesn't add up. They wonder this blissfully unaware
   that a third of the money is going for something else.""

My dear friends, your mixing fact and fiction here. A couple
of weeks ago, when I first read this in your posting, I
talked with one of the cost experts here in Space Station
at Headquarters [if you wondering why I didn't post a
response immediately, I do have a real job I'm supposed
to be doing here at Headquarters, & digging up old 20 kHz
data & looking into Sherzer/Kyger claims rates pretty low
on the totem pole of priority. Also, I spent last weekend
in Kansas City, at the National Science Teachers 
Association conference, extolling the virtues of SSF
to 15,000 science teachers.]

First off, yes, the concept of 'center tax', or 'wrap' does
exist. If I recall the numbers correctly, the total 'tax'
for the SSF program for this fiscal year is around $40 Million.
This was computed by adding up the WP-1, WP-2, and WP-4
center 'taxes'. With the SSF budget for this fiscal year at
$2.2 Billion, my calculater says the tax percentage is
04/2.2 = 1.8%

Over the life of the SSF program, using your figure of $30
billion for the cost of SSF, a tax at a 1.8% rate comes to
$540 million. This is alot less than $10 billion, but I
will concede it's still an appreciable amount of pocket
change.

I should note that your estimate of the tax rate at 1/3 could
be close to the actual rate. The tax is only charged on funds
that are spent at the center (kind of like McDonalds at some
states, where you do have to pay sales tax if you eat
the food at the restaurant, but you don't if you get it
take-out). For example, at WP-4, the vast bulk of the funds
we receive go to the Rocketdyne Contract, and are *NOT*
subject to the center tax (I don't have the numbers in
front of me, but I'd guess at least 95% of the WP-4 funds
go to Rocketdyne). So, you could be right about a tax
rate of 1/3, but it's only applied to funds spent at the
center, and not to the prime contracts.

This leads to the obvious question ""What is the government
doing with SSF funds that don't go to the prime contractors?
(i.e. ok, WP-4 gets a slice of the $30 billion pie. A
big portion of this slice goes to Rocketdyne. What happens
to the balance of the funds, which aren't eaten
up by the center tax?)""

At WP-4, we call these funds we spend in-house supporting
development funds (as they are supporting the development
work done by Rocketdyne). We have used these funds to
setup our own testbed, to checkout the electrical
power system architecture. Our testbed has a real life
solar array field (left over from solar cell research
research a few years back), with lead-acid car batteries
(to simulate the Nickel-Hydrogen batteries on SSF), DC
switchgear, DC-DC converter units, and simulated
loads. Data from the testbed was used in a recent
change evaluation involving concerns about the stability
of the power system.

We have also used the supporting development money to
purchase Nickel Hydrogen batteries, which are on life
testing at both Lewis and the Crane Naval facility in
Indiana. As a side point, 6 of the battery cells on
test recently hit the four year life test milestone.
38 cells have completed 18,552 to 23,405 cycles (the
on-orbit batteries go through 5,840 cycles per year).

As a final example, my 'home' division at Lewis used
the supporting development funds to purchase personal
computers and work stations, for performing system
analyses (like modeling of the performance of the
electrical power system, availability calculations
using a Monte-Carlo simulation, setting up a 
database with information on weight of the power
system elements).

Finally, the money raised by the 'tax' does not all
go into a 'slush fund.' At Lewis, the director
does control a small discretionary fund. Each year,
any individual at Lewis can submit a proposal to
the director to get money from this fund to look
at pretty much anything within the Lewis Charter.

Most of the tax, however, goes to fund the 'general'
services at the Center, like the library, the 
central computer services division, the Contractor 
who removes the snow, etc. Thus, it is rather
difficult to determine what percentage of the
SSF budget doesn't go for SSF activities. To get
an accurate figure, you would have to take
the annual expenditure for the library (for example),
and then divide by the amount of the library funds
used to support SSF (which would be hard to
compute by itself - how would you figure out
what percentage of the bill for Aviation Week for
1 year is 'billable' to SSF, would you base it on
the person-hours SSF employees spend reading AV-week
versus the rest of the center personnel). You would
then have to compare this estimate of the SSF
portion of the library expense with the portion of
the tax that goes to support the library. Who knows,
maybe SSF overpays on the tax to run the library, but
we underpay for snow removal? Talk about
a burecratic nightmare!"
30,train,3,sci.med,"Here is the tollfree hotline for the Epilepsy Foundation
of America - 1-800-EFA-1000.  They will be able to answer
your questions and send you information and references on
seizure types, medication, etc.  They can also give you references
for a pediatric neorologist in your area.  Also ask for the 
number of your local Foundation who can put you in touch with
a Parent Support Group and social workers.
Good Luck.
"
31,train,2,rec.autos,"I am interested in finding out how the 4Runner and Pathfinder have
been updated in the past few years.  Like new engine, suspension and
the like.  I noticed that the 1993 and 1992 4Runners are identical,
for example, and was looking into buying a used one.

Any info would be appreciated, esp. models/years to check out or
avoid."
32,train,3,sci.med,"

Larry:

The subject content IS serious; as is the question.

On one hand you state that ""things have changed dramatically"" but, at the
same time nothing you ""can think of has changed"".  Your girlfriend seems
to want to see a counselor, but you don't.  

I'd recommend that you examine your hesitation to see a counselor.  It's
a very good environment to examine issues.  

The fact of the matter is:  your girlfriend has a different perception than
you.  The TWO of you need to address the issue in order to resolve it.

Please consider going to a counselor with your girlfriend.  What could it
possibly hurt?"
33,train,2,rec.autos,"I just read articals on this in Road and Track and Car and Driver
	(Is that one mag or two? =B^), and I was wondering if people out
	there have any opinions that differed from what these mags have to
	say...


	I'm looking at the following three SUV's; anyone who's driven all
	three have any strong opinions?


	Ford Explorer
	Toyota 4Runner
	Nissan Pathfinder


	Currently I'm leaning toward the Toyota, 'cause I've had big success
	with Toyota trucks in the past, and 'cause I think it's the best
	looking of the three. But I thought I'd see if anyone has any strong 
	opinions....



			Thanks!


	-Karl
"
34,train,4,sci.space,"
[ a nearly perfect parody  -- needed more random CAPS]


Thanks for the chuckle.  (I loved the bit about relevance to people starving
in Somalia!)

To those who've taken this seriously, READ THE NAME! (aloud)
"
38,train,1,misc.forsale,"*******************************************************
                   1969 karmann ghia
*******************************************************

This car is in excellent running condition:
               *********
  *49,000 mi on new engine
  *new tires (Aug 92)
  *new clutch (91)
  *new carb (91)
  *original radio (am/fm)
  *upholstery in great shape
  *burgundy exterior/ black interior

This car has been well-maintained with regular tune-ups.
Unfortunately, the car's previous owner had a minor
front-end collision.  The right front nose is dented
and patched up with bondo.  I have the hard-to-find part
needed to repair this damage.  Besides that damage, the car
is in excellent condition. $1600/bo"
39,train,2,rec.autos,"
While previous Volvos have been essentially very fast tractors, the 3,4 and 8 series
are far from 'agricultural' in design or execution (how many FWD tractors have you 
seen?).


You state this like it is a bad thing.  :^)  (remember, car companies use
ad agencies - they don't do their own ads!)


Is this true?  I know that they had done joint ventures with Renault, but I haven't
heard about their subsumption into Renault - does this mean that the French Government
now owns Volvo?  - anyway, Renault makes some very nice cars, they just don't sell
'em in N. America!


Here! Here!
"
40,train,2,rec.autos,"
The VW ""Thing"" Kubelwagen lookalike is still manufactured in Mexico and 
possibly South America.  Good luck importing one--  They probably don't meet 
US safety and pollution requirements.  There are mechanics and junkyards 
which specialize in VW; they might be helpful for finding a ""Thing"" unless 
the WWII re-enacters have grabbed them all.

The WWII Kubelwagen was the German equivalent of the Jeep, but was not 4-
wheel drive.  One is on display at the Patton Museum at Fort Knox, Kentucky, 
also the rare ""Schwimwagen"" (sp?) amphibious version, in full-scale dioramas.
Highly recommended!

--"
41,train,0,comp.graphics,"Hello,

Hello,

     I was wondering if anyone knew of a PC or MAC
implementation of the marching cubes algorithm that will output
the individual faces.  If there is no such application, might there
be some C source code that I could modify to implement the
algorithm and get to the individual faces.

Thanks in advance
Sincerly

Tracy"
42,train,2,rec.autos,"^^^^^^^^^^^^^^^^^^^^^^^^^

There is a picture in the May 1993 edition of European Car (although,
it may not be on the shelf yet).


	- prototype has front wheel drive (first front drive
	  for Mercedes since the beginning of WWII)

	- wheelbase 3.15m
	- 7 seater
	- they claim that the price will be about the same as a
	  Renault Espace or Chrysler Voyager (DM 50,000)

Looking at the picture (slightly disguised) it looks like the Ford
Aerostar, to me.


                                                  .  
                                                 /                
Larry                            __/    _______/_                 
keys@csmes.ncsl.nist.gov       /                  \               
                          _____     __     _____    \------- ===
            ----------- / ____/   /  /   /__  __/              \
         /     ___    /  / ___   /  /      / /    ____          |
        |    /      \/ /__ /  | /  /__  __/ /__ /       \      / 
        /___         \_______/ /_____/ /______/            ====OO
            \       /                           \       /         
                -            1990 2.0 16v           -


       ---------------- FAHRVERGNUGEN FOREVER! --------------------            
            The fact that I need to explain it to you indicates
            that you probably wouldn't understand anyway!"
44,train,0,comp.graphics,"

	The newspaper itself is almost certainly copyrighted in its
entirety.  Newspapers generally employ legal staffs which make sure
they get permission to use a copyrighted image or text.  Did you
do the same?
-- 
-John"
45,train,1,misc.forsale,"Two LH Research SM11-1 power supplies (SM10 series).

1000W, 5V, 200A (currently wired for 115VAC)

Control lines: +/- sense, on/off, pwr.fail, high/low margin, and
current monitor.

(The list price from LH Research is $824.00 each for qty. 1-9)

Asking $500.00 for the pair."
